location_id,borough,zone,lon,lat
35,Brooklyn,Brownsville,-73.91025776959916,40.664002936640344
36,Brooklyn,Bushwick North,-73.91770956300488,40.70052207677382
37,Brooklyn,Bushwick South,-73.92223688327465,40.69499398960588
38,Queens,Cambria Heights,-73.73555411751046,40.69434123971375
39,Brooklyn,Canarsie,-73.8997346848635,40.63803689672939
40,Brooklyn,Carroll Gardens,-73.99595622535054,40.67919897887252
41,Manhattan,Central Harlem,-73.95129204385638,40.804333857858566
42,Manhattan,Central Harlem North,-73.94077208625764,40.81825725007343
43,Manhattan,Central Park,-73.96555540550199,40.782477012629855
44,Staten Island,Charleston/Tottenville,-74.23353546082052,40.52549110546785
45,Manhattan,Chinatown,-73.99815145865519,40.71245928513697
46,Bronx,City Island,-73.78198762631824,40.84908569070798
47,Bronx,Claremont/Bathgate,-73.90031694602852,40.84274838600793
48,Manhattan,Clinton East,-73.98984489812494,40.76225259858686
49,Brooklyn,Clinton Hill,-73.96236337094902,40.687967206027
50,Manhattan,Clinton West,-73.99513534858681,40.766237623324514
51,Bronx,Co-Op City,-73.82826339600581,40.873972431959054
52,Brooklyn,Cobble Hill,-73.99672407074303,40.68665117791559
53,Queens,College Point,-73.84281297899702,40.78091165851576
54,Brooklyn,Columbia Street,-74.00291135102258,40.68720061705318
55,Brooklyn,Coney Island,-73.98794360684474,40.57696131070534
56,Queens,Corona,-73.85884527575628,40.74140671948818
57,Queens,Corona,-73.8535815482027,40.75181933958824
58,Bronx,Country Club,-73.8203932847595,40.841451939213556
59,Bronx,Crotona Park,-73.89498592772226,40.83855027505839
60,Bronx,Crotona Park East,-73.88590027069773,40.83399041103506
61,Brooklyn,Crown Heights North,-73.93928693565553,40.674469714192334
62,Brooklyn,Crown Heights South,-73.94878830363868,40.666540670529315
63,Brooklyn,Cypress Hills,-73.87817285854474,40.68383988904548
64,Queens,Douglaston,-73.73933650195845,40.76061450045598
65,Brooklyn,Downtown Brooklyn/MetroTech,-73.98608592282788,40.69533747220736
66,Brooklyn,DUMBO/Vinegar Hill,-73.98570157061832,40.702258945125635
67,Brooklyn,Dyker Heights,-74.01380228070624,40.6196189778478
68,Manhattan,East Chelsea,-73.99991779023728,40.74842733009862
69,Bronx,East Concourse/Concourse Village,-73.91503006977001,40.83141625187567
70,Queens,East Elmhurst,-73.86839538867875,40.76335208099607
71,Brooklyn,East Flatbush/Farragut,-73.93796619973367,40.6442876673477
72,Brooklyn,East Flatbush/Remsen Village,-73.92225101477305,40.65236444541499
73,Queens,East Flushing,-73.80729410936029,40.75410890581649
74,Manhattan,East Harlem North,-73.9373456595586,40.80116912880847
75,Manhattan,East Harlem South,-73.94575022751276,40.790010676294
76,Brooklyn,East New York,-73.87682021500527,40.660934157913516
77,Brooklyn,East New York/Pennsylvania Avenue,-73.89536390861545,40.66655871582285
78,Bronx,East Tremont,-73.88552154399945,40.84496040702045
79,Manhattan,East Village,-73.98593745737395,40.727620122038296
80,Brooklyn,East Williamsburg,-73.9367935879161,40.71536964922733
81,Bronx,Eastchester,-73.83664438963196,40.88093511497006
82,Queens,Elmhurst,-73.8771183310234,40.73949534354325
83,Queens,Elmhurst/Maspeth,-73.89217342295797,40.73832393052052
84,Staten Island,Eltingville/Annadale/Prince's Bay,-74.18767927741463,40.52868558216076
85,Brooklyn,Erasmus,-73.95162326816249,40.6461161546567
86,Queens,Far Rockaway,-73.75524330826842,40.60243266654381
87,Manhattan,Financial District North,-74.00749595416085,40.706808425516
88,Manhattan,Financial District South,-74.0115150281245,40.703357880548445
89,Brooklyn,Flatbush/Ditmas Park,-73.96096805763649,40.63789963509721
90,Manhattan,Flatiron,-73.99697147759031,40.74227858331221
91,Brooklyn,Flatlands,-73.93009718315575,40.62627246088453
92,Queens,Flushing,-73.82885854846761,40.7611014398131
93,Queens,Flushing Meadows-Corona Park,-73.84086521275654,40.74067383007372
94,Bronx,Fordham South,-73.89953594476775,40.85815518926289
95,Queens,Forest Hills,-73.84766908657137,40.72143156737172
96,Queens,Forest Park/Highland Park,-73.8715612898338,40.6970015078661
97,Brooklyn,Fort Greene,-73.9748820144768,40.69078658376774
98,Queens,Fresh Meadows,-73.77725343413134,40.734462637097494
99,Staten Island,Freshkills Park,-74.18642081572338,40.57677255023222
100,Manhattan,Garment District,-73.98878660966813,40.75351274051303
101,Queens,Glen Oaks,-73.7110254285456,40.74599312386358
102,Queens,Glendale,-73.87573702732386,40.7035460869547
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,-74.04528828347375,40.68986010346146
104,Manhattan,Governor's Island/Ellis Island/Liberty Island,-74.04077078511479,40.69876867282886
105,Manhattan,Governor's Island/Ellis Island/Liberty Island,-74.01907288309684,40.688784215552616
106,Brooklyn,Gowanus,-73.99064755008082,40.673512678313976
107,Manhattan,Gramercy,-73.98405214924436,40.73682398302769
108,Brooklyn,Gravesend,-73.9814314279712,40.58840360836442
109,Staten Island,Great Kills,-74.15089028926955,40.551862025100405
110,Staten Island,Great Kills Park,-74.12834311100727,40.54577972821087
111,Brooklyn,Green-Wood Cemetery,-73.9902343725197,40.65213720698316
112,Brooklyn,Greenpoint,-73.94954001249944,40.72950616875672
113,Manhattan,Greenwich Village North,-73.9943047162786,40.73257902625367
114,Manhattan,Greenwich Village South,-73.9973801630823,40.72834036831642
115,Staten Island,Grymes Hill/Clifton,-74.0878388464394,40.61797101224406
116,Manhattan,Hamilton Heights,-73.94852183123933,40.82701260635661
117,Queens,Hammels/Arverne,-73.78962334973271,40.59405915427384
118,Staten Island,Heartland Village/Todt Hill,-74.13298451453818,40.58655482658561
119,Bronx,Highbridge,-73.92615757846964,40.837826783716714
120,Manhattan,Highbridge Park,-73.9301832301702,40.846666945291695
121,Queens,Hillcrest/Pomonok,-73.80244388409426,40.72833291964907
122,Queens,Hollis,-73.76113689765596,40.71063914369108
123,Brooklyn,Homecrest,-73.96433354731992,40.59995386265361
124,Queens,Howard Beach,-73.8449181204672,40.6582475138648
125,Manhattan,Hudson Sq,-74.0074858070925,40.72629040399524
126,Bronx,Hunts Point,-73.8855370337455,40.81207420841891
127,Manhattan,Inwood,-73.9193084235328,40.866074893138844
128,Manhattan,Inwood Hill Park,-73.92436989163414,40.87237883266693
129,Queens,Jackson Heights,-73.88531729044865,40.75731177578824
130,Queens,Jamaica,-73.79398113023713,40.70436904839545
131,Queens,Jamaica Estates,-73.77610108565929,40.72065547306545
132,Queens,JFK Airport,-73.78652986349012,40.6469851002482
133,Brooklyn,Kensington,-73.97619875860275,40.640589941044496
134,Queens,Kew Gardens,-73.82871239790782,40.70805097274516
135,Queens,Kew Gardens Hills,-73.82119497835454,40.72837725250497
136,Bronx,Kingsbridge Heights,-73.90591127838628,40.86526406538748
137,Manhattan,Kips Bay,-73.97649469938301,40.74043892115906
138,Queens,LaGuardia Airport,-73.873628438902,40.77437581673263
139,Queens,Laurelton,-73.7442347963469,40.677097531404165
140,Manhattan,Lenox Hill East,-73.9547390603464,40.76548395144242
141,Manhattan,Lenox Hill West,-73.95963501136171,40.766948054796536
142,Manhattan,Lincoln Square East,-73.98153235360773,40.7736331961289
143,Manhattan,Lincoln Square West,-73.9876456908124,40.77596514731965
144,Manhattan,Little Italy/NoLiTa,-73.99691858884708,40.720888840868064
145,Queens,Long Island City/Hunters Point,-73.94889156149159,40.74537934472368
146,Queens,Long Island City/Queens Plaza,-73.93482891700025,40.75424253686728
147,Bronx,Longwood,-73.89895654395085,40.81967568059163
148,Manhattan,Lower East Side,-73.99089636602756,40.718938301131104
149,Brooklyn,Madison,-73.94813561950728,40.6049134658026
150,Brooklyn,Manhattan Beach,-73.94362868028261,40.5804733513006
151,Manhattan,Manhattan Valley,-73.96816820440951,40.797961980283944
152,Manhattan,Manhattanville,-73.95378220824486,40.81797510016548
153,Manhattan,Marble Hill,-73.91037864632285,40.87596779180152
154,Brooklyn,Marine Park/Floyd Bennett Field,-73.90259516689072,40.59357106687244
155,Brooklyn,Marine Park/Mill Basin,-73.91527729481503,40.61459130879868
156,Staten Island,Mariners Harbor,-74.16723425044069,40.63130767438205
157,Queens,Maspeth,-73.90233075376986,40.72399485039648
158,Manhattan,Meatpacking/West Village West,-74.00898419902498,40.73503518316511
159,Bronx,Melrose South,-73.91284931725946,40.818259819569725
160,Queens,Middle Village,-73.88005123769709,40.71833678461976
161,Manhattan,Midtown Center,-73.97769803041939,40.758027981780664
162,Manhattan,Midtown East,-73.97235615813489,40.75668753761734
163,Manhattan,Midtown North,-73.97756856896713,40.764421438774605
164,Manhattan,Midtown South,-73.98515644835915,40.74857453693653
165,Brooklyn,Midwood,-73.95682439069601,40.620923828653744
166,Manhattan,Morningside Heights,-73.96176369363279,40.809456817038885
167,Bronx,Morrisania/Melrose,-73.90235207986518,40.82751259617853
168,Bronx,Mott Haven/Port Morris,-73.91682152685682,40.807347116380264
169,Bronx,Mount Hope,-73.90512246226346,40.84905828506662
170,Manhattan,Murray Hill,-73.97849158432054,40.74774573203896
171,Queens,Murray Hill-Queens,-73.80954532050765,40.76835161995765
172,Staten Island,New Dorp/Midland Beach,-74.10501884907058,40.57176876885638
173,Queens,North Corona,-73.86303757637424,40.75257918636063
174,Bronx,Norwood,-73.87902219325525,40.87713740796544
175,Queens,Oakland Gardens,-73.75462177515529,40.742671135458615
176,Staten Island,Oakwood,-74.12258304710812,40.56199406259295
177,Brooklyn,Ocean Hill,-73.91363232497895,40.67664397964799
178,Brooklyn,Ocean Parkway South,-73.97032564615044,40.61731468433557
179,Queens,Old Astoria,-73.92833298669993,40.77157021384615
180,Queens,Ozone Park,-73.84704288454616,40.67559501020121
181,Brooklyn,Park Slope,-73.98141430754676,40.670373980768005
182,Bronx,Parkchester,-73.85798693850145,40.83774862504009
183,Bronx,Pelham Bay,-73.83158183808297,40.849172484756885
184,Bronx,Pelham Bay Park,-73.80785826289252,40.868275112649606
185,Bronx,Pelham Parkway,-73.85439389980314,40.854404940143816
186,Manhattan,Penn Station/Madison Sq West,-73.99243754419264,40.74849716576958
187,Staten Island,Port Richmond,-74.14078866147455,40.62816593004213
188,Brooklyn,Prospect-Lefferts Gardens,-73.94744186388097,40.65874469984108
189,Brooklyn,Prospect Heights,-73.96758665136912,40.67763534192634
190,Brooklyn,Prospect Park,-73.9689138001589,40.661621710598034
191,Queens,Queens Village,-73.74153154913715,40.715453802576356
192,Queens,Queensboro Hill,-73.81522924223742,40.743751876330236
193,Queens,Queensbridge/Ravenswood,-73.941997345654,40.7603134568218
194,Manhattan,Randalls Island,-73.92459671825748,40.79100048638123
195,Brooklyn,Red Hook,-74.00917842826674,40.67554864701934
196,Queens,Rego Park,-73.86333836633429,40.72615524559958
197,Queens,Richmond Hill,-73.83092432071815,40.6945423878432
198,Queens,Ridgewood,-73.9017091770337,40.70652682085338
199,Bronx,Rikers Island,-73.88265799878711,40.791132912174135
200,Bronx,Riverdale/North Riverdale/Fieldston,-73.90698753009411,40.89952838046223
201,Queens,Rockaway Park,-73.84345437593673,40.57798298905335
202,Manhattan,Roosevelt Island,-73.94995272044949,40.76189933577784
203,Queens,Rosedale,-73.73947394708196,40.6578524002613
204,Staten Island,Rossville/Woodrow,-74.20782577848769,40.54033310791922
205,Queens,Saint Albans,-73.76314608999355,40.691200815966475
206,Staten Island,Saint George/New Brighton,-74.10231443709439,40.63897310514289
207,Queens,Saint Michaels Cemetery/Woodside,-73.89935257380462,40.76398556081556
208,Bronx,Schuylerville/Edgewater Park,-73.82353890836147,40.82331779920536
209,Manhattan,Seaport,-74.00366448904686,40.70907271927832
210,Brooklyn,Sheepshead Bay,-73.94050725344536,40.59202360691841
211,Manhattan,SoHo,-74.00153759512791,40.72388807206041
212,Bronx,Soundview/Bruckner,-73.86967998064887,40.82790234607947
213,Bronx,Soundview/Castle Hill,-73.8581349352209,40.817858732890684
214,Staten Island,South Beach/Dongan Hills,-74.08551242969601,40.586786351126605
215,Queens,South Jamaica,-73.79096478957263,40.69442751519796
216,Queens,South Ozone Park,-73.8194594633455,40.676153672738344
217,Brooklyn,South Williamsburg,-73.95859683039497,40.70391646835312
218,Queens,Springfield Gardens North,-73.77303557005415,40.672089873265826
219,Queens,Springfield Gardens South,-73.7645050464996,40.66218551815379
220,Bronx,Spuyten Duyvil/Kingsbridge,-73.91066491034807,40.88240314430451
221,Staten Island,Stapleton,-74.07370335971028,40.61876814401099
222,Brooklyn,Starrett City,-73.88241274352464,40.64752693460751
223,Queens,Steinway,-73.9054073938334,40.77742668296696
224,Manhattan,Stuy Town/Peter Cooper Village,-73.97659759721292,40.73182059189008
225,Brooklyn,Stuyvesant Heights,-73.93188776883784,40.68816808255133
226,Queens,Sunnyside,-73.92467277449282,40.73769793411764
227,Brooklyn,Sunset Park East,-74.00465260064145,40.64188612045834
228,Brooklyn,Sunset Park West,-74.0112729089247,40.65235415076564
229,Manhattan,Sutton Place/Turtle Bay North,-73.96514581878095,40.756728908132224
230,Manhattan,Times Sq/Theatre District,-73.98419655675737,40.759817566309465
231,Manhattan,TriBeCa/Civic Center,-74.0078796687525,40.717772624799245
232,Manhattan,Two Bridges/Seward Park,-73.98302469110321,40.71473247007343
233,Manhattan,UN/Turtle Bay South,-73.97044261148469,40.74991400028383
234,Manhattan,Union Sq,-73.9904579133977,40.740337372580974
235,Bronx,University Heights/Morris Heights,-73.91597580806709,40.85252096967173
236,Manhattan,Upper East Side North,-73.95701192571859,40.780436290012105
237,Manhattan,Upper East Side South,-73.96563472764679,40.76861505664575
238,Manhattan,Upper West Side North,-73.9730488247599,40.791704894539244
239,Manhattan,Upper West Side South,-73.97863191501314,40.78396140232238
240,Bronx,Van Cortlandt Park,-73.88197740171728,40.89459870941775
241,Bronx,Van Cortlandt Village,-73.89562019423215,40.876512149833516
242,Bronx,Van Nest/Morris Park,-73.85067120117776,40.84678316501388
243,Manhattan,Washington Heights North,-73.93283170504228,40.85710800278274
244,Manhattan,Washington Heights South,-73.94139929841424,40.841708432867456
245,Staten Island,West Brighton,-74.10286021352394,40.630049214870475
246,Manhattan,West Chelsea/Hudson Yards,-74.00401551098165,40.75330875946255
247,Bronx,West Concourse,-73.9244099256833,40.82898744957318
248,Bronx,West Farms/Bronx River,-73.87228957125745,40.8341653109323
249,Manhattan,West Village,-74.00287502314927,40.73457589628759
250,Bronx,Westchester Village/Unionport,-73.84864087551631,40.83210137235688
251,Staten Island,Westerleigh,-74.12534780784381,40.61688017760985
252,Queens,Whitestone,-73.81565687221273,40.78819313151886
253,Queens,Willets Point,-73.84124397042739,40.7606306929995
254,Bronx,Williamsbridge/Olinville,-73.85894862514452,40.882156652347604
255,Brooklyn,Williamsburg (North Side),-73.95741813772918,40.718803891962104
256,Brooklyn,Williamsburg (South Side),-73.95990457422253,40.71088001756359
257,Brooklyn,Windsor Terrace,-73.97798212852373,40.65361164157178
258,Queens,Woodhaven,-73.85576671853391,40.68872119747494
259,Bronx,Woodlawn/Wakefield,-73.85221512421664,40.89793210648794
260,Queens,Woodside,-73.90630719190789,40.74423361478699
261,Manhattan,World Trade Center,-74.01302283778836,40.70913887628818
262,Manhattan,Yorkville East,-73.94651047848446,40.775932302217605
263,Manhattan,Yorkville West,-73.9510100659439,40.77876573980772
